Unnamed: 0,Cuentas,ADDWISE 12 / 2016,AVLA 12 / 2016,BAN TATTERSALL 12 / 2016,BCI 12 / 2016,CONTEMPORA 12 / 2016,DANK 12 / 2016,ECR OSORNO 12 / 2016,ELOY 12 / 2016,FINANCIA CAPITAL 12 / 2016,LARRAIN VIAL 12 / 2016,LATAM TRADE CAPITAL 12 / 2016,TANNER 12 / 2016,Fecha
1,RUT,76.147.513-4,76.268.236-2,76.977.670-2,76.466.468-K,76.686.240-3,76.249.106-0,76.030.732-7,76.389.487-8,76.089.848-1,99.587.310-9,76.148.647-0,76.313.350-8,Diciembre de 2016
2,Razón social,ADDWISE,AVLA,BAN TATTERSALL,BCI,CONTEMPORA,DANK,ECR OSORNO,ELOY,FINANCIA CAPITAL,LARRAIN VIAL,LATAM TRADE CAPITAL,TANNER,Diciembre de 2016
3,,,,,,,,,,,,,,Diciembre de 2016
4,Estado de situación financiera,,,,,,,,,,,,,Diciembre de 2016
5,Activos,,,,,,,,,,,,,Diciembre de 2016
6,11.01.00 Efectivo y efectivo equivalente,740881,548347,410745,45906,487148,530704,17407,418985,24536,1533807,203382,894173,Diciembre de 2016
7,11.02.00 Instrumentos financieros,,0,762365,414090,0,0,0,0,0,250048,0,0,Diciembre de 2016
8,11.02.10 A valor razonable - Cartera propia disponible,,0,0,0,0,0,0,0,0,250048,0,0,Diciembre de 2016
9,11.02.11 Renta variable (IRV),,,,,0,,,,,250048,,0,Diciembre de 2016
10,11.02.12 Renta fija e Intermediación Financiera (IRF e IIF),,,,,,,,,,,,0,Diciembre de 2016
11,11.02.20 A valor razonable - Cartera propia comprometida,,0,0,0,0,0,0,0,0,0,0,0,Diciembre de 2016
12,11.02.21 Renta variable,,,,,,,,,,,,0,Diciembre de 2016
13,11.02.22 Renta fija e Intermediación Financiera,,,,,,,,,,,,0,Diciembre de 2016
14,11.02.30 A valor razonable - Instrumentos financieros derivados,,,,,,,,,,,,0,Diciembre de 2016
15,11.02.40 A costo amortizado - Cartera propia disponible,,,762365,414090,,,,,,,,0,Diciembre de 2016
16,11.02.50 A costo amortizado - Cartera propia comprometida,,,,,,,,,,,,0,Diciembre de 2016
17,11.02.60 A costo amortizado - Operaciones de financiamiento,,0,0,0,0,0,0,0,0,0,0,0,Diciembre de 2016
18,11.02.61 Operaciones de compra con retroventa sobre IRV,,,,,,,,,,,,0,Diciembre de 2016
19,11.02.62 Operaciones de compra con retroventa sobre IRF e IIF,,,,,,,,,,,,0,Diciembre de 2016
20,11.02.63 Otras,,,,,,,,,0,,,0,Diciembre de 2016
21,11.03.00 Productos,,0,0,4925069,0,0,220758,0,0,466001,110365,185866,Diciembre de 2016
22,11.03.10 A valor razonable - Cartera propia disponible,,0,0,4925069,0,0,220758,0,0,466001,0,0,Diciembre de 2016
23,11.03.11 Productos agropecuarios,,,,,,,,,,,,0,Diciembre de 2016
24,11.03.12 Títulos representativos de productos agropecuarios (TRP),,,,,,,,,,,,0,Diciembre de 2016
25,11.03.13 Facturas,,,,4925069,,,220758,,,466001,,0,Diciembre de 2016
26,11.03.14 Títulos representativos de facturas (TRF),,,,,,,,,,,,0,Diciembre de 2016
27,11.03.15 Otros,,,,,,,,,,,,0,Diciembre de 2016
28,11.03.20 A valor razonable - Cartera propia comprometida,,0,0,0,0,0,0,0,0,0,0,0,Diciembre de 2016
29,11.03.21 Productos agropecuarios,,,,,,,,,,,,0,Diciembre de 2016
30,11.03.22 Títulos representativos de productos agropecuarios,,,,,,,,,,,,0,Diciembre de 2016
31,11.03.23 Otros,,,,,,,,,,,,0,Diciembre de 2016
32,11.03.30 A valor razonable - Instrumentos derivados,,,,,,,,,,,,0,Diciembre de 2016
33,11.03.40 A costo amortizado - Cartera propia disponible,,0,0,0,0,0,0,0,0,0,110365,185866,Diciembre de 2016
34,11.03.41 Facturas,,,,,,,,,,,110365,185866,Diciembre de 2016
35,11.03.42 Títulos representativos de facturas,,,,,,,,,,,,0,Diciembre de 2016
36,11.03.43 Otros,,,,,,,,,,,,0,Diciembre de 2016
37,11.03.50 A costo amortizado - Cartera propia comprometida,,,,,,,,,,,,0,Diciembre de 2016
