Unnamed: 0,Cuentas,ADDWISE 12 / 2017,AVLA 12 / 2017,BAN TATTERSALL 12 / 2017,BCI 12 / 2017,CONTEMPORA 12 / 2017,DANK 12 / 2017,ECR OSORNO 12 / 2017,ELOY 12 / 2017,FINANCIA CAPITAL 12 / 2017,FINMAS 12 / 2017,LARRAIN VIAL 12 / 2017,LATAM TRADE CAPITAL 12 / 2017,MOONK 12 / 2017,TANNER 12 / 2017,Fecha
1,RUT,76.147.513-4,76.268.236-2,76.977.670-2,76.466.468-K,76.686.240-3,76.249.106-0,76.030.732-7,76.389.487-8,76.089.848-1,76.609.787-1,99.587.310-9,76.148.647-0,76.727.442-4,76.313.350-8,Diciembre de 2017
2,Razón social,ADDWISE,AVLA,BAN TATTERSALL,BCI,CONTEMPORA,DANK,ECR OSORNO,ELOY,FINANCIA CAPITAL,FINMAS,LARRAIN VIAL,LATAM TRADE CAPITAL,MOONK,TANNER,Diciembre de 2017
3,,,,,,,,,,,,,,,,Diciembre de 2017
4,Estado de situación financiera,,,,,,,,,,,,,,,Diciembre de 2017
5,Activos,,,,,,,,,,,,,,,Diciembre de 2017
6,11.01.00 Efectivo y efectivo equivalente,377598,243543,880419,338,491258,23650,136604,211693,254261,185990,739566,101297,375836,238248,Diciembre de 2017
7,11.02.00 Instrumentos financieros,,0,1316335,411158,0,0,0,0,0,0,0,0,0,893915,Diciembre de 2017
8,11.02.10 A valor razonable - Cartera propia disponible,,0,0,411158,0,0,0,0,0,0,0,0,0,893915,Diciembre de 2017
9,11.02.11 Renta variable (IRV),,,,,0,,,,,,,,,,Diciembre de 2017
10,11.02.12 Renta fija e Intermediación Financiera (IRF e IIF),,,,411158,,,,,,,,,,893915,Diciembre de 2017
11,11.02.20 A valor razonable - Cartera propia comprometida,,0,0,0,0,0,0,0,0,0,0,0,0,0,Diciembre de 2017
12,11.02.21 Renta variable,,,,,,,,,,,,,,,Diciembre de 2017
13,11.02.22 Renta fija e Intermediación Financiera,,,,,,,,,,,,,,,Diciembre de 2017
14,11.02.30 A valor razonable - Instrumentos financieros derivados,,,,,,,,,,,,,,,Diciembre de 2017
15,11.02.40 A costo amortizado - Cartera propia disponible,,,1316335,,,,,,,,,,,,Diciembre de 2017
16,11.02.50 A costo amortizado - Cartera propia comprometida,,,,,,,,,,,,,,,Diciembre de 2017
17,11.02.60 A costo amortizado - Operaciones de financiamiento,,0,0,0,0,0,0,0,0,0,0,0,0,0,Diciembre de 2017
18,11.02.61 Operaciones de compra con retroventa sobre IRV,,,,,,,,,,,,,,,Diciembre de 2017
19,11.02.62 Operaciones de compra con retroventa sobre IRF e IIF,,,,,,,,,,,,,,,Diciembre de 2017
20,11.02.63 Otras,,,,,,,,,0,,,,,,Diciembre de 2017
21,11.03.00 Productos,,0,0,8048539,0,0,216510,0,0,0,480275,14663,0,59109,Diciembre de 2017
22,11.03.10 A valor razonable - Cartera propia disponible,,0,0,7375441,0,0,216510,0,0,0,480275,0,0,0,Diciembre de 2017
23,11.03.11 Productos agropecuarios,,,,,,,,,,,,,,,Diciembre de 2017
24,11.03.12 Títulos representativos de productos agropecuarios (TRP),,,,,,,,,,,,,,,Diciembre de 2017
25,11.03.13 Facturas,,,,7375441,,,216510,,,,480275,,,,Diciembre de 2017
26,11.03.14 Títulos representativos de facturas (TRF),,,,,,,,,,,,,,,Diciembre de 2017
27,11.03.15 Otros,,,,,,,,,,,,,,,Diciembre de 2017
28,11.03.20 A valor razonable - Cartera propia comprometida,,0,0,0,0,0,0,0,0,0,0,0,0,0,Diciembre de 2017
29,11.03.21 Productos agropecuarios,,,,,,,,,,,,,,,Diciembre de 2017
30,11.03.22 Títulos representativos de productos agropecuarios,,,,,,,,,,,,,,,Diciembre de 2017
31,11.03.23 Otros,,,,,,,,,,,,,,,Diciembre de 2017
32,11.03.30 A valor razonable - Instrumentos derivados,,,,,,,,,,,,,,,Diciembre de 2017
33,11.03.40 A costo amortizado - Cartera propia disponible,,0,0,248994,0,0,0,0,0,0,0,14663,0,59109,Diciembre de 2017
34,11.03.41 Facturas,,,,248994,,,,,,,,14663,,59109,Diciembre de 2017
35,11.03.42 Títulos representativos de facturas,,,,,,,,,,,,,,,Diciembre de 2017
36,11.03.43 Otros,,,,,,,,,,,,,,,Diciembre de 2017
37,11.03.50 A costo amortizado - Cartera propia comprometida,,,,,,,,,,,,,,,Diciembre de 2017
38,11.03.60 A costo amortizado - Operaciones de financiamiento,,0,0,424104,0,0,0,0,0,0,0,0,0,0,Diciembre de 2017
39,11.03.61 Operaciones de compra con retroventa sobre productos agropecuarios,,,,,,,,,,,,,,,Diciembre de 2017
40,11.03.62 Operaciones de compra con retroventa sobre TRP,,,,424104,,,,,,,0,,,,Diciembre de 2017
41,11.03.63 Otras,,,,,,,,,,,,,,,Diciembre de 2017
42,11.04.00 Deudores por intermediación,,,722290,2006,0,,,561646,,718950,0,494094,,,Diciembre de 2017
43,11.05.00 Cuentas por cobrar por operaciones de cartera propia,,,,,,,,,,,,,,26880,Diciembre de 2017
44,11.06.00 Cuentas por cobrar a partes relacionadas,,,98601,19598,,32662,,,0,51501,45432,0,,,Diciembre de 2017
45,11.07.00 Otras cuentas por cobrar,3334,,584439,98263,9693,12993,,32784,0,3019,0,,,36927,Diciembre de 2017
46,11.08.00 Impuestos por cobrar,8625,7014,92877,,,4697,4131,8500,10982,577,61837,21027,2307,9829,Diciembre de 2017
47,11.09.00 Impuestos diferidos,2963,0,2442,22388,54593,21833,1332,2717,0,21217,17410,2272,2761,27352,Diciembre de 2017
48,11.10.00 Inversiones en sociedades,,25025,200217,,172876,24646,149389,26485,0,,149243,,,153930,Diciembre de 2017
49,11.11.00 Intangibles,9311,5832,10777,22514,0,,,7293,0,39531,,33705,51995,,Diciembre de 2017
50,"11.12.00 Propiedades, planta y equipo",119,0,3589,,168,,,6282,413,1019,,422,,121,Diciembre de 2017
51,11.13.00 Otros activos,,4813,0,0,,189756,,11297,889,1224,0,37264,,669,Diciembre de 2017
52,10.00.00 Total Activos,401950,286227,3911986,8624804,728588,310237,507966,868697,266545,1023028,1493763,704744,432899,1446980,Diciembre de 2017
53,Pasivos y Patrimonio,,,,,,,,,,,,,,,Diciembre de 2017
54,Pasivos,,,,,,,,,,,,,,,Diciembre de 2017
55,21.01.00 Pasivos financieros,,0,0,0,0,0,0,0,0,0,0,0,0,0,Diciembre de 2017
56,21.01.10 A valor razonable,,,,,,,,,,,,,,,Diciembre de 2017
57,21.01.20 A valor razonable - Instrumentos financieros derivados,,,,,,,,,,,,,,,Diciembre de 2017
58,21.01.30 Obligaciones por financiamiento,,0,0,0,0,0,0,0,0,0,0,0,0,0,Diciembre de 2017
59,21.01.31 Operaciones de venta con retrocompra sobre IRV,,,,,,,,,,,,,,,Diciembre de 2017
60,21.01.32 Operaciones de venta con retrocompra sobre IRF e IIF,,,,,,,,,,,,,,,Diciembre de 2017
61,21.01.33 Otras,,,,,,,,,,,,,,,Diciembre de 2017
62,21.02.00 Pasivos del mercado de productos,,0,0,0,0,0,0,0,0,0,0,0,0,0,Diciembre de 2017
