Unnamed: 0,Cuentas,AVLA 12 / 2018,BAN TATTERSALL 12 / 2018,BCI 12 / 2018,CONTEMPORA 12 / 2018,DANK 12 / 2018,ECR OSORNO 12 / 2018,ELOY 12 / 2018,FINMAS 12 / 2018,LARRAIN VIAL 12 / 2018,LATAM TRADE CAPITAL 12 / 2018,MOONK 12 / 2018,TANNER 12 / 2018,Fecha
1,RUT,76.268.236-2,76.977.670-2,76.466.468-K,76.686.240-3,76.249.106-0,76.030.732-7,76.389.487-8,76.609.787-1,99.587.310-9,76.148.647-0,76.727.442-4,76.313.350-8,Diciembre de 2018
2,Razón social,AVLA,BAN TATTERSALL,BCI,CONTEMPORA,DANK,ECR OSORNO,ELOY,FINMAS,LARRAIN VIAL,LATAM TRADE CAPITAL,MOONK,TANNER,Diciembre de 2018
3,,,,,,,,,,,,,,Diciembre de 2018
4,Estado de situación financiera,,,,,,,,,,,,,Diciembre de 2018
5,Activos,,,,,,,,,,,,,Diciembre de 2018
6,11.01.00 Efectivo y efectivo equivalente,280537,5605,61968,593274,10379,32382,236574,227351,351152,70238,381374,89657,Diciembre de 2018
7,11.02.00 Instrumentos financieros,0,0,425091,0,202931,0,0,0,1000000,0,0,955030,Diciembre de 2018
8,11.02.10 A valor razonable - Cartera propia disponible,0,0,425091,0,202931,0,0,0,1000000,0,0,403203,Diciembre de 2018
9,11.02.11 Renta variable (IRV),,,,0,202931,,,,1000000,,,,Diciembre de 2018
10,11.02.12 Renta fija e Intermediación Financiera (IRF e IIF),,,425091,,,,,,,,,403203,Diciembre de 2018
11,11.02.20 A valor razonable - Cartera propia comprometida,0,0,0,0,0,0,0,0,0,0,0,0,Diciembre de 2018
12,11.02.21 Renta variable,,,,,,,,,,,,,Diciembre de 2018
13,11.02.22 Renta fija e Intermediación Financiera,,,,,,,,,,,,,Diciembre de 2018
14,11.02.30 A valor razonable - Instrumentos financieros derivados,,,,,,,,,,,,,Diciembre de 2018
15,11.02.40 A costo amortizado - Cartera propia disponible,,,,,,,,,,,,551827,Diciembre de 2018
16,11.02.50 A costo amortizado - Cartera propia comprometida,,,,,,,,,,,,,Diciembre de 2018
17,11.02.60 A costo amortizado - Operaciones de financiamiento,0,0,0,0,0,0,0,0,0,0,0,0,Diciembre de 2018
18,11.02.61 Operaciones de compra con retroventa sobre IRV,,,,,,,,,,,,,Diciembre de 2018
19,11.02.62 Operaciones de compra con retroventa sobre IRF e IIF,,,,,,,,,,,,,Diciembre de 2018
20,11.02.63 Otras,,,,,,,,,,,,,Diciembre de 2018
21,11.03.00 Productos,0,782063,9583802,0,0,280582,0,0,892530,739453,0,158120,Diciembre de 2018
22,11.03.10 A valor razonable - Cartera propia disponible,0,782063,9169907,0,0,280582,0,0,892530,0,0,0,Diciembre de 2018
23,11.03.11 Productos agropecuarios,,,,,,,,,,,,,Diciembre de 2018
24,11.03.12 Títulos representativos de productos agropecuarios (TRP),,515488,,,,,,,,,,,Diciembre de 2018
25,11.03.13 Facturas,,266575,9169907,,,280582,,,892530,,,,Diciembre de 2018
26,11.03.14 Títulos representativos de facturas (TRF),,,,,,,,,,,,,Diciembre de 2018
27,11.03.15 Otros,,,,,,,,,,,,,Diciembre de 2018
28,11.03.20 A valor razonable - Cartera propia comprometida,0,0,0,0,0,0,0,0,0,0,0,0,Diciembre de 2018
29,11.03.21 Productos agropecuarios,,,,,,,,,,,,,Diciembre de 2018
30,11.03.22 Títulos representativos de productos agropecuarios,,,,,,,,,,,,,Diciembre de 2018
31,11.03.23 Otros,,,,,,,,,,,,,Diciembre de 2018
32,11.03.30 A valor razonable - Instrumentos derivados,,,,,,,,,,,,,Diciembre de 2018
33,11.03.40 A costo amortizado - Cartera propia disponible,0,0,650,0,0,0,0,0,0,739453,0,158120,Diciembre de 2018
34,11.03.41 Facturas,,,650,,,,,,,739453,,158120,Diciembre de 2018
35,11.03.42 Títulos representativos de facturas,,,,,,,,,,,,,Diciembre de 2018
36,11.03.43 Otros,,,,,,,,,,,,,Diciembre de 2018
37,11.03.50 A costo amortizado - Cartera propia comprometida,,,,,,,,,,,,,Diciembre de 2018
38,11.03.60 A costo amortizado - Operaciones de financiamiento,0,0,413245,0,0,0,0,0,0,0,0,0,Diciembre de 2018
39,11.03.61 Operaciones de compra con retroventa sobre productos agropecuarios,,,,,,,,,,,,,Diciembre de 2018
40,11.03.62 Operaciones de compra con retroventa sobre TRP,,,413245,,,,,,0,,,,Diciembre de 2018
41,11.03.63 Otras,,,,,,,,,,,,,Diciembre de 2018
42,11.04.00 Deudores por intermediación,,,1376,0,,,549841,2431808,0,0,,2455,Diciembre de 2018
43,11.05.00 Cuentas por cobrar por operaciones de cartera propia,,,,,,,,,,,,,Diciembre de 2018
44,11.06.00 Cuentas por cobrar a partes relacionadas,,40139,6415,63475,,,,1062,15213,0,,877,Diciembre de 2018
45,11.07.00 Otras cuentas por cobrar,358,643590,401687,1045,6416,,4170,3321,43232,,,,Diciembre de 2018
46,11.08.00 Impuestos por cobrar,5967,25255,,,828,488,15881,3287,88983,19015,9408,50637,Diciembre de 2018
47,11.09.00 Impuestos diferidos,0,111272,39707,61022,37197,401,1165,38192,12363,11838,27558,30461,Diciembre de 2018
48,11.10.00 Inversiones en sociedades,25171,201391,,174734,24953,151246,26815,,151099,,,153930,Diciembre de 2018
49,11.11.00 Intangibles,2916,15927,12045,0,,,5481,42808,,33705,51995,,Diciembre de 2018
50,"11.12.00 Propiedades, planta y equipo",0,3756,995,84,,,4681,1215,,334,,54,Diciembre de 2018
51,11.13.00 Otros activos,2371,1593840,0,,540,,11294,5517,0,3883,2369,687,Diciembre de 2018
