Unnamed: 0,Cuentas,ADDWISE 06 / 2016,AVLA 06 / 2016,BAN TATTERSALL 06 / 2016,BCI 06 / 2016,CONTEMPORA 06 / 2016,DANK 06 / 2016,ECR OSORNO 06 / 2016,ELOY 06 / 2016,FINANCIA CAPITAL 06 / 2016,LARRAIN VIAL 06 / 2016,LATAM TRADE CAPITAL 06 / 2016,TANNER 06 / 2016,Fecha
1,RUT,76.147.513-4,76.268.236-2,76.977.670-2,76.466.468-K,76.686.240-3,76.249.106-0,76.030.732-7,76.389.487-8,76.089.848-1,99.587.310-9,76.148.647-0,76.313.350-8,Junio de 2016
2,Razón social,ADDWISE,AVLA,BAN TATTERSALL,BCI,CONTEMPORA,DANK,ECR OSORNO,ELOY,FINANCIA CAPITAL,LARRAIN VIAL,LATAM TRADE CAPITAL,TANNER,Junio de 2016
3,,,,,,,,,,,,,,Junio de 2016
4,Estado de situación financiera,,,,,,,,,,,,,Junio de 2016
5,Activos,,,,,,,,,,,,,Junio de 2016
6,11.01.00 Efectivo y efectivo equivalente,535586,220679,879687,43,529383,3348,40475,453612,61757,70200,327599,2215,Junio de 2016
7,11.02.00 Instrumentos financieros,,0,1007634,404903,0,0,0,0,0,1650176,0,0,Junio de 2016
8,11.02.10 A valor razonable - Cartera propia disponible,,0,0,404903,0,0,0,0,0,1650176,0,0,Junio de 2016
9,11.02.11 Renta variable (IRV),,,,,0,,,,,1650176,,0,Junio de 2016
10,11.02.12 Renta fija e Intermediación Financiera (IRF e IIF),,,,404903,,,,,,,0,0,Junio de 2016
11,11.02.20 A valor razonable - Cartera propia comprometida,,0,0,0,0,0,0,0,0,0,0,0,Junio de 2016
12,11.02.21 Renta variable,,,,,,,,,,,0,0,Junio de 2016
13,11.02.22 Renta fija e Intermediación Financiera,,,,,,,,,,,0,0,Junio de 2016
14,11.02.30 A valor razonable - Instrumentos financieros derivados,,,,,,,,,,,0,0,Junio de 2016
15,11.02.40 A costo amortizado - Cartera propia disponible,,,1007634,,,,,,,,0,0,Junio de 2016
16,11.02.50 A costo amortizado - Cartera propia comprometida,,,,,,,,,,,0,0,Junio de 2016
17,11.02.60 A costo amortizado - Operaciones de financiamiento,,0,0,0,0,0,0,0,0,0,0,0,Junio de 2016
18,11.02.61 Operaciones de compra con retroventa sobre IRV,,,,,,,,,,,0,0,Junio de 2016
19,11.02.62 Operaciones de compra con retroventa sobre IRF e IIF,,,,,,,,,,,0,0,Junio de 2016
20,11.02.63 Otras,,,,,,,,,0,,0,0,Junio de 2016
21,11.03.00 Productos,,0,0,4996835,0,0,189890,0,0,217575,0,1106887,Junio de 2016
22,11.03.10 A valor razonable - Cartera propia disponible,,0,0,4996835,0,0,189890,0,0,217575,0,0,Junio de 2016
23,11.03.11 Productos agropecuarios,,,,,,,,,,,0,0,Junio de 2016
24,11.03.12 Títulos representativos de productos agropecuarios (TRP),,,,,,,,,,,0,0,Junio de 2016
25,11.03.13 Facturas,,,,4996835,,,189890,,,217575,0,0,Junio de 2016
26,11.03.14 Títulos representativos de facturas (TRF),,,,,,,,,,,0,0,Junio de 2016
27,11.03.15 Otros,,,,,,,,,,,0,0,Junio de 2016
28,11.03.20 A valor razonable - Cartera propia comprometida,,0,0,0,0,0,0,0,0,0,0,0,Junio de 2016
29,11.03.21 Productos agropecuarios,,,,,,,,,,,0,0,Junio de 2016
30,11.03.22 Títulos representativos de productos agropecuarios,,,,,,,,,,,0,0,Junio de 2016
31,11.03.23 Otros,,,,,,,,,,,0,0,Junio de 2016
32,11.03.30 A valor razonable - Instrumentos derivados,,,,,,,,,,,0,0,Junio de 2016
