Unnamed: 0,Cuentas,ADDWISE 06 / 2017,AVLA 06 / 2017,BAN TATTERSALL 06 / 2017,BCI 06 / 2017,CONTEMPORA 06 / 2017,DANK 06 / 2017,ECR OSORNO 06 / 2017,ELOY 06 / 2017,FINANCIA CAPITAL 06 / 2017,FINMAS 06 / 2017,LARRAIN VIAL 06 / 2017,LATAM TRADE CAPITAL 06 / 2017,TANNER 06 / 2017,Fecha
1,RUT,76.147.513-4,76.268.236-2,76.977.670-2,76.466.468-K,76.686.240-3,76.249.106-0,76.030.732-7,76.389.487-8,76.089.848-1,76.609.787-1,99.587.310-9,76.148.647-0,76.313.350-8,Junio de 2017
2,Razón social,ADDWISE,AVLA,BAN TATTERSALL,BCI,CONTEMPORA,DANK,ECR OSORNO,ELOY,FINANCIA CAPITAL,FINMAS,LARRAIN VIAL,LATAM TRADE CAPITAL,TANNER,Junio de 2017
3,,,,,,,,,,,,,,,Junio de 2017
4,Estado de situación financiera,,,,,,,,,,,,,,Junio de 2017
5,Activos,,,,,,,,,,,,,,Junio de 2017
6,11.01.00 Efectivo y efectivo equivalente,465105,261596,883934,58,470051,11910,32982,125920,39960,238469,53835,23934,172595,Junio de 2017
7,11.02.00 Instrumentos financieros,0,0,1760814,429660,0,0,0,0,0,0,1500398,0,0,Junio de 2017
8,11.02.10 A valor razonable - Cartera propia disponible,0,0,0,429660,0,0,0,0,0,0,1500398,0,0,Junio de 2017
9,11.02.11 Renta variable (IRV),,,,,0,,,,,,1500398,,0,Junio de 2017
10,11.02.12 Renta fija e Intermediación Financiera (IRF e IIF),,,,429660,,,,,,,,0,0,Junio de 2017
11,11.02.20 A valor razonable - Cartera propia comprometida,0,0,0,0,0,0,0,0,0,0,0,0,0,Junio de 2017
12,11.02.21 Renta variable,,,,,,,,,,,,0,0,Junio de 2017
13,11.02.22 Renta fija e Intermediación Financiera,,,,,,,,,,,,0,0,Junio de 2017
14,11.02.30 A valor razonable - Instrumentos financieros derivados,,,,,,,,,,,,0,0,Junio de 2017
15,11.02.40 A costo amortizado - Cartera propia disponible,,,1760814,,,,,,,,,0,0,Junio de 2017
16,11.02.50 A costo amortizado - Cartera propia comprometida,,,,,,,,,,,,0,0,Junio de 2017
17,11.02.60 A costo amortizado - Operaciones de financiamiento,0,0,0,0,0,0,0,0,0,0,0,0,0,Junio de 2017
18,11.02.61 Operaciones de compra con retroventa sobre IRV,,,,,,,,,,,,0,0,Junio de 2017
19,11.02.62 Operaciones de compra con retroventa sobre IRF e IIF,,,,,,,,,,,,0,0,Junio de 2017
20,11.02.63 Otras,,,,,,,,,0,,,0,0,Junio de 2017
21,11.03.00 Productos,0,0,0,4725274,0,0,200344,0,0,0,372924,422560,867471,Junio de 2017
22,11.03.10 A valor razonable - Cartera propia disponible,0,0,0,4725274,0,0,200344,0,0,0,372924,0,0,Junio de 2017
23,11.03.11 Productos agropecuarios,,,,,,,,,,,,0,0,Junio de 2017
24,11.03.12 Títulos representativos de productos agropecuarios (TRP),,,,,,,,,,,,0,0,Junio de 2017
25,11.03.13 Facturas,,,,4725274,,,200344,,,,372924,0,0,Junio de 2017
26,11.03.14 Títulos representativos de facturas (TRF),,,,,,,,,,,,0,0,Junio de 2017
