Unnamed: 0,Cuentas,ADDWISE 06 / 2018,AVLA 06 / 2018,BAN TATTERSALL 06 / 2018,BCI 06 / 2018,CONTEMPORA 06 / 2018,DANK 06 / 2018,ECR OSORNO 06 / 2018,ELOY 06 / 2018,FINMAS 06 / 2018,LARRAIN VIAL 06 / 2018,LATAM TRADE CAPITAL 06 / 2018,MOONK 06 / 2018,TANNER 06 / 2018,Fecha
1,RUT,76.147.513-4,76.268.236-2,76.977.670-2,76.466.468-K,76.686.240-3,76.249.106-0,76.030.732-7,76.389.487-8,76.609.787-1,99.587.310-9,76.148.647-0,76.727.442-4,76.313.350-8,Junio de 2018
2,Razón social,ADDWISE,AVLA,BAN TATTERSALL,BCI,CONTEMPORA,DANK,ECR OSORNO,ELOY,FINMAS,LARRAIN VIAL,LATAM TRADE CAPITAL,MOONK,TANNER,Junio de 2018
3,,,,,,,,,,,,,,,Junio de 2018
4,Estado de situación financiera,,,,,,,,,,,,,,Junio de 2018
5,Activos,,,,,,,,,,,,,,Junio de 2018
6,11.01.00 Efectivo y efectivo equivalente,164836,248475,567638,1803,607492,4646,246377,323026,193326,55174,195981,423977,443271,Junio de 2018
7,11.02.00 Instrumentos financieros,,0,0,430628,0,0,0,0,0,550000,0,0,515911,Junio de 2018
8,11.02.10 A valor razonable - Cartera propia disponible,,0,0,430628,0,0,0,0,0,550000,0,0,515911,Junio de 2018
9,11.02.11 Renta variable (IRV),,,,,0,,,,,550000,,,,Junio de 2018
10,11.02.12 Renta fija e Intermediación Financiera (IRF e IIF),,,,430628,,,,,,,0,,515911,Junio de 2018
11,11.02.20 A valor razonable - Cartera propia comprometida,,0,0,0,0,0,0,0,0,0,0,0,0,Junio de 2018
12,11.02.21 Renta variable,,,,,,,,,,,0,,,Junio de 2018
13,11.02.22 Renta fija e Intermediación Financiera,,,,,,,,,,,0,,,Junio de 2018
14,11.02.30 A valor razonable - Instrumentos financieros derivados,,,,,,,,,,,0,,,Junio de 2018
15,11.02.40 A costo amortizado - Cartera propia disponible,,,,,,,,,,,0,,,Junio de 2018
16,11.02.50 A costo amortizado - Cartera propia comprometida,,,,,,,,,,,0,,,Junio de 2018
17,11.02.60 A costo amortizado - Operaciones de financiamiento,,0,0,0,0,0,0,0,0,0,0,0,0,Junio de 2018
18,11.02.61 Operaciones de compra con retroventa sobre IRV,,,,,,,,,,,0,,,Junio de 2018
19,11.02.62 Operaciones de compra con retroventa sobre IRF e IIF,,,,,,,,,,,0,,,Junio de 2018
20,11.02.63 Otras,,,,,,,,,,,0,,,Junio de 2018
