Unnamed: 0,Cuentas,AVLA 06 / 2020,BAN TATTERSALL 06 / 2020,BCI 06 / 2020,CONTEMPORA 06 / 2020,DANK 06 / 2020,ECR OSORNO 06 / 2020,ELOY 06 / 2020,FINMAS 06 / 2020,LARRAIN VIAL 06 / 2020,LATAM TRADE CAPITAL 06 / 2020,MOONK 06 / 2020,NUEVO CAPITAL 06 / 2020,TANNER 06 / 2020,Fecha
1,RUT,76.268.236-2,76.977.670-2,76.466.468-K,76.686.240-3,76.249.106-0,76.030.732-7,76.389.487-8,76.609.787-1,99.587.310-9,76.148.647-0,76.727.442-4,76.899.853-1,76.313.350-8,Junio de 2020
2,Razón social,AVLA,BAN TATTERSALL,BCI,CONTEMPORA,DANK,ECR OSORNO,ELOY,FINMAS,LARRAIN VIAL,LATAM TRADE CAPITAL,MOONK,NUEVO CAPITAL,TANNER,Junio de 2020
3,,,,,,,,,,,,,,,Junio de 2020
4,Estado de situación financiera,,,,,,,,,,,,,,Junio de 2020
5,Activos,,,,,,,,,,,,,,Junio de 2020
6,11.01.00 Efectivo y efectivo equivalente,247032,845444,4163,792141,11374,20276,258072,294676,97344,278700,140409,406715,557400,Junio de 2020
7,11.02.00 Instrumentos financieros,0,0,0,0,130950,0,0,0,550001,0,0,0,0,Junio de 2020
8,11.02.10 A valor razonable - Cartera propia disponible,0,0,0,0,130950,0,0,0,550001,0,0,0,0,Junio de 2020
9,11.02.11 Renta variable (IRV),,,,0,130950,,,,550001,,,,,Junio de 2020
10,11.02.12 Renta fija e Intermediación Financiera (IRF e IIF),,0,,,,,,,,0,,,,Junio de 2020
11,11.02.20 A valor razonable - Cartera propia comprometida,0,0,0,0,0,0,0,0,0,0,0,0,0,Junio de 2020
12,11.02.21 Renta variable,,0,,,,,,,,0,,,,Junio de 2020
13,11.02.22 Renta fija e Intermediación Financiera,,0,,,,,,,,0,,,,Junio de 2020
14,11.02.30 A valor razonable - Instrumentos financieros derivados,,0,,,,,,,,0,,,,Junio de 2020
15,11.02.40 A costo amortizado - Cartera propia disponible,,0,,,,,,,,0,,,,Junio de 2020
16,11.02.50 A costo amortizado - Cartera propia comprometida,,0,,,,,,,,0,,,,Junio de 2020
