Unnamed: 0,Cuentas,ADDWISE 03 / 2015,AVLA 03 / 2015,BAN TATTERSALL 03 / 2015,CONTEMPORA 03 / 2015,DANK 03 / 2015,ECR OSORNO 03 / 2015,FINANCIA CAPITAL 03 / 2015,LARRAIN VIAL 03 / 2015,LATAM TRADE CAPITAL 03 / 2015,TANNER 03 / 2015,Fecha
1,RUT,76.147.513-4,76.268.236-2,76.977.670-2,76.686.240-3,76.249.106-0,76.030.732-7,76.089.848-1,99.587.310-9,76.148.647-0,76.313.350-8,Marzo de 2015
2,Razón social,ADDWISE,AVLA,BAN TATTERSALL,CONTEMPORA,DANK,ECR OSORNO,FINANCIA CAPITAL,LARRAIN VIAL,LATAM TRADE CAPITAL,TANNER,Marzo de 2015
3,,,,,,,,,,,,Marzo de 2015
4,Estado de situación financiera,,,,,,,,,,,Marzo de 2015
5,Activos,,,,,,,,,,,Marzo de 2015
6,11.01.00 Efectivo y efectivo equivalente,339443,203843,272677,304087,8952,265201,24517,3795207,107079,63571,Marzo de 2015
7,11.02.00 Instrumentos financieros,,,643250,0,0,0,0,131469,0,0,Marzo de 2015
8,11.02.10 A valor razonable - Cartera propia disponible,,,0,0,0,0,0,131469,0,0,Marzo de 2015
9,11.02.11 Renta variable (IRV),,,,0,,,,131469,,0,Marzo de 2015
10,11.02.12 Renta fija e Intermediación Financiera (IRF e IIF),,,,,,,,,,0,Marzo de 2015
11,11.02.20 A valor razonable - Cartera propia comprometida,,,0,0,0,0,0,0,0,0,Marzo de 2015
12,11.02.21 Renta variable,,,,,,,,,,0,Marzo de 2015
13,11.02.22 Renta fija e Intermediación Financiera,,,,,,,,,,0,Marzo de 2015
14,11.02.30 A valor razonable - Instrumentos financieros derivados,,,,,,,,,,0,Marzo de 2015
15,11.02.40 A costo amortizado - Cartera propia disponible,,,643250,,,,,,,0,Marzo de 2015
16,11.02.50 A costo amortizado - Cartera propia comprometida,,,,,,,,,,0,Marzo de 2015
17,11.02.60 A costo amortizado - Operaciones de financiamiento,,,0,0,0,0,0,0,0,0,Marzo de 2015
18,11.02.61 Operaciones de compra con retroventa sobre IRV,,,,,,,,,,,Marzo de 2015
19,11.02.62 Operaciones de compra con retroventa sobre IRF e IIF,,,,,,,,,,,Marzo de 2015
20,11.02.63 Otras,,,,,,,0,,,,Marzo de 2015
21,11.03.00 Productos,,,0,0,0,269976,0,0,1209945,1757895,Marzo de 2015
22,11.03.10 A valor razonable - Cartera propia disponible,,,0,0,0,269976,0,0,0,1757895,Marzo de 2015
23,11.03.11 Productos agropecuarios,,,,,,,,,,0,Marzo de 2015
24,11.03.12 Títulos representativos de productos agropecuarios (TRP),,,,,,,,,,0,Marzo de 2015
25,11.03.13 Facturas,,,,,,269976,,,,1757895,Marzo de 2015
26,11.03.14 Títulos representativos de facturas (TRF),,,,,,,,,,,Marzo de 2015
27,11.03.15 Otros,,,,,,,,,,,Marzo de 2015
28,11.03.20 A valor razonable - Cartera propia comprometida,,,0,0,0,0,0,0,0,0,Marzo de 2015
29,11.03.21 Productos agropecuarios,,,,,,,,,,,Marzo de 2015
30,11.03.22 Títulos representativos de productos agropecuarios,,,,,,,,,,,Marzo de 2015
31,11.03.23 Otros,,,,,,,,,,,Marzo de 2015
32,11.03.30 A valor razonable - Instrumentos derivados,,,,,,,,,,,Marzo de 2015
33,11.03.40 A costo amortizado - Cartera propia disponible,,,0,0,0,0,0,0,1209945,0,Marzo de 2015
34,11.03.41 Facturas,,,,,,,,,1209945,,Marzo de 2015
35,11.03.42 Títulos representativos de facturas,,,,,,,,,,,Marzo de 2015
36,11.03.43 Otros,,,,,,,,,,,Marzo de 2015
37,11.03.50 A costo amortizado - Cartera propia comprometida,,,,,,,,,,,Marzo de 2015
38,11.03.60 A costo amortizado - Operaciones de financiamiento,,,0,0,0,0,0,0,0,0,Marzo de 2015
39,11.03.61 Operaciones de compra con retroventa sobre productos agropecuarios,,,,,,,,,,,Marzo de 2015
40,11.03.62 Operaciones de compra con retroventa sobre TRP,,,,,,,,0,,,Marzo de 2015
41,11.03.63 Otras,,,,,,,,,,,Marzo de 2015
42,11.04.00 Deudores por intermediación,41720,,190257,95285,,,,0,38157,2146631,Marzo de 2015
