Unnamed: 0,Cuentas,ADDWISE 03 / 2016,AVLA 03 / 2016,BAN TATTERSALL 03 / 2016,BCI 03 / 2016,CONTEMPORA 03 / 2016,DANK 03 / 2016,ECR OSORNO 03 / 2016,ELOY 03 / 2016,FINANCIA CAPITAL 03 / 2016,LARRAIN VIAL 03 / 2016,LATAM TRADE CAPITAL 03 / 2016,TANNER 03 / 2016,Fecha
1,RUT,76.147.513-4,76.268.236-2,76.977.670-2,76.466.468-K,76.686.240-3,76.249.106-0,76.030.732-7,76.389.487-8,76.089.848-1,99.587.310-9,76.148.647-0,76.313.350-8,Marzo de 2016
2,Razón social,ADDWISE,AVLA,BAN TATTERSALL,BCI,CONTEMPORA,DANK,ECR OSORNO,ELOY,FINANCIA CAPITAL,LARRAIN VIAL,LATAM TRADE CAPITAL,TANNER,Marzo de 2016
3,,,,,,,,,,,,,,Marzo de 2016
4,Estado de situación financiera,,,,,,,,,,,,,Marzo de 2016
5,Activos,,,,,,,,,,,,,Marzo de 2016
6,11.01.00 Efectivo y efectivo equivalente,543258,218252,406965,21366,435148,52237,6299,155163,62076,154857,348038,275973,Marzo de 2016
7,11.02.00 Instrumentos financieros,0,,821335,394774,0,0,0,0,0,1900844,0,0,Marzo de 2016
8,11.02.10 A valor razonable - Cartera propia disponible,0,,0,394774,0,0,0,0,0,1900844,0,0,Marzo de 2016
9,11.02.11 Renta variable (IRV),,,,,0,,,,,1900844,,0,Marzo de 2016
10,11.02.12 Renta fija e Intermediación Financiera (IRF e IIF),,,,394774,,,,,,,,0,Marzo de 2016
11,11.02.20 A valor razonable - Cartera propia comprometida,0,,0,0,0,0,0,0,0,0,0,0,Marzo de 2016
12,11.02.21 Renta variable,,,,,,,,,,,,0,Marzo de 2016
13,11.02.22 Renta fija e Intermediación Financiera,,,,,,,,,,,,0,Marzo de 2016
14,11.02.30 A valor razonable - Instrumentos financieros derivados,,,,,,,,,,,,0,Marzo de 2016
15,11.02.40 A costo amortizado - Cartera propia disponible,,,821335,,,,,,,,,0,Marzo de 2016
16,11.02.50 A costo amortizado - Cartera propia comprometida,,,,,,,,,,,,0,Marzo de 2016
17,11.02.60 A costo amortizado - Operaciones de financiamiento,0,,0,0,0,0,0,0,0,0,0,0,Marzo de 2016
18,11.02.61 Operaciones de compra con retroventa sobre IRV,,,,,,,,,,,,0,Marzo de 2016
19,11.02.62 Operaciones de compra con retroventa sobre IRF e IIF,,,,,,,,,,,,0,Marzo de 2016
20,11.02.63 Otras,,,,,,,,,0,,,0,Marzo de 2016
21,11.03.00 Productos,0,,0,3424173,0,0,0,0,0,78419,7464,977997,Marzo de 2016
22,11.03.10 A valor razonable - Cartera propia disponible,0,,0,3424173,0,0,0,0,0,78419,0,0,Marzo de 2016
23,11.03.11 Productos agropecuarios,,,,,,,,,,,,0,Marzo de 2016
24,11.03.12 Títulos representativos de productos agropecuarios (TRP),,,,,,,,,,,,0,Marzo de 2016
25,11.03.13 Facturas,,,,3424173,,,0,,,78419,,0,Marzo de 2016
26,11.03.14 Títulos representativos de facturas (TRF),,,,,,,,,,,,0,Marzo de 2016
27,11.03.15 Otros,,,,,,,,,,,,0,Marzo de 2016
28,11.03.20 A valor razonable - Cartera propia comprometida,0,,0,0,0,0,0,0,0,0,0,0,Marzo de 2016
29,11.03.21 Productos agropecuarios,,,,,,,,,,,,0,Marzo de 2016
30,11.03.22 Títulos representativos de productos agropecuarios,,,,,,,,,,,,0,Marzo de 2016
31,11.03.23 Otros,,,,,,,,,,,,0,Marzo de 2016
32,11.03.30 A valor razonable - Instrumentos derivados,,,,,,,,,,,,0,Marzo de 2016
33,11.03.40 A costo amortizado - Cartera propia disponible,0,,0,0,0,0,0,0,0,0,7464,977997,Marzo de 2016
34,11.03.41 Facturas,,,,,,,,,,,7464,706058,Marzo de 2016
35,11.03.42 Títulos representativos de facturas,,,,,,,,,,,,0,Marzo de 2016
36,11.03.43 Otros,,,,,,,,,,,,271939,Marzo de 2016
37,11.03.50 A costo amortizado - Cartera propia comprometida,,,,,,,,,,,,0,Marzo de 2016
38,11.03.60 A costo amortizado - Operaciones de financiamiento,0,,0,0,0,0,0,0,0,0,0,0,Marzo de 2016
39,11.03.61 Operaciones de compra con retroventa sobre productos agropecuarios,,,,,,,,,,,,0,Marzo de 2016
40,11.03.62 Operaciones de compra con retroventa sobre TRP,,,,,,,,,,0,,0,Marzo de 2016
41,11.03.63 Otras,,,,,,,,,,,,0,Marzo de 2016
42,11.04.00 Deudores por intermediación,2246,,9061,,36694,,,,,0,0,0,Marzo de 2016
43,11.05.00 Cuentas por cobrar por operaciones de cartera propia,,,,,,,,,,,,690529,Marzo de 2016
44,11.06.00 Cuentas por cobrar a partes relacionadas,,,262196,,,,209000,,494500,100000,,0,Marzo de 2016
45,11.07.00 Otras cuentas por cobrar,0,1171,317519,1031,14700,25440,18014,193377,0,0,257903,101940,Marzo de 2016
46,11.08.00 Impuestos por cobrar,5292,867,73386,3649,,1473,5971,6619,13735,2745,27482,7058,Marzo de 2016
