Unnamed: 0,Cuentas,ADDWISE 03 / 2018,AVLA 03 / 2018,BAN TATTERSALL 03 / 2018,BCI 03 / 2018,CONTEMPORA 03 / 2018,DANK 03 / 2018,ECR OSORNO 03 / 2018,ELOY 03 / 2018,FINANCIA CAPITAL 03 / 2018,FINMAS 03 / 2018,LARRAIN VIAL 03 / 2018,LATAM TRADE CAPITAL 03 / 2018,MOONK 03 / 2018,TANNER 03 / 2018,Fecha
1,RUT,76.147.513-4,76.268.236-2,76.977.670-2,76.466.468-K,76.686.240-3,76.249.106-0,76.030.732-7,76.389.487-8,76.089.848-1,76.609.787-1,99.587.310-9,76.148.647-0,76.727.442-4,76.313.350-8,Marzo de 2018
2,Razón social,ADDWISE,AVLA,BAN TATTERSALL,BCI,CONTEMPORA,DANK,ECR OSORNO,ELOY,FINANCIA CAPITAL,FINMAS,LARRAIN VIAL,LATAM TRADE CAPITAL,MOONK,TANNER,Marzo de 2018
3,,,,,,,,,,,,,,,,Marzo de 2018
4,Estado de situación financiera,,,,,,,,,,,,,,,Marzo de 2018
5,Activos,,,,,,,,,,,,,,,Marzo de 2018
6,11.01.00 Efectivo y efectivo equivalente,190517,230475,872335,646,365381,16317,74171,91243,249584,232459,325082,2970,366167,1314916,Marzo de 2018
7,11.02.00 Instrumentos financieros,0,0,0,425562,0,0,0,0,0,0,2000000,0,0,434306,Marzo de 2018
8,11.02.10 A valor razonable - Cartera propia disponible,0,0,0,425562,0,0,0,0,0,0,2000000,0,0,434306,Marzo de 2018
9,11.02.11 Renta variable (IRV),,,,,0,,,,,,2000000,,,,Marzo de 2018
10,11.02.12 Renta fija e Intermediación Financiera (IRF e IIF),,,,425562,,,,,,,,,,434306,Marzo de 2018
11,11.02.20 A valor razonable - Cartera propia comprometida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marzo de 2018
12,11.02.21 Renta variable,,,,,,,,,,,,,,,Marzo de 2018
13,11.02.22 Renta fija e Intermediación Financiera,,,,,,,,,,,,,,,Marzo de 2018
14,11.02.30 A valor razonable - Instrumentos financieros derivados,,,,,,,,,,,,,,,Marzo de 2018
15,11.02.40 A costo amortizado - Cartera propia disponible,,,,,,,,,,,,,,,Marzo de 2018
16,11.02.50 A costo amortizado - Cartera propia comprometida,,,,,,,,,,,,,,,Marzo de 2018
17,11.02.60 A costo amortizado - Operaciones de financiamiento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marzo de 2018
