Unnamed: 0,Cuentas,AVLA 03 / 2022,BAN TATTERSALL 03 / 2022,BCI 03 / 2022,CONTEMPORA 03 / 2022,DANK 03 / 2022,ECR OSORNO 03 / 2022,ELOY 03 / 2022,FINMAS 03 / 2022,LARRAIN VIAL 03 / 2022,LATAM TRADE CAPITAL 03 / 2022,MOONK 03 / 2022,NUEVO CAPITAL 03 / 2022,TANNER 03 / 2022,Fecha
1,RUT,76.268.236-2,76.977.670-2,76.466.468-K,76.686.240-3,76.249.106-0,76.030.732-7,76.389.487-8,76.609.787-1,99.587.310-9,76.148.647-0,76.727.442-4,76.899.853-1,76.313.350-8,Marzo de 2022
2,Razón social,AVLA,BAN TATTERSALL,BCI,CONTEMPORA,DANK,ECR OSORNO,ELOY,FINMAS,LARRAIN VIAL,LATAM TRADE CAPITAL,MOONK,NUEVO CAPITAL,TANNER,Marzo de 2022
3,,,,,,,,,,,,,,,Marzo de 2022
4,Estado de situación financiera,,,,,,,,,,,,,,Marzo de 2022
5,Activos,,,,,,,,,,,,,,Marzo de 2022
6,11.01.00 Efectivo y efectivo equivalente,352025,590296,14768,637017,23295,14997,203908,235599,308897,717174,144576,386821,689,Marzo de 2022
7,11.02.00 Instrumentos financieros,0,0,0,0,146923,0,0,0,0,0,0,0,0,Marzo de 2022
8,11.02.10 A valor razonable - Cartera propia disponible,0,0,0,0,146923,0,0,0,0,0,0,0,0,Marzo de 2022
9,11.02.11 Renta variable (IRV),,,,0,146923,,,0,0,,,,,Marzo de 2022
10,11.02.12 Renta fija e Intermediación Financiera (IRF e IIF),,,,,,,,0,,0,,,,Marzo de 2022
11,11.02.20 A valor razonable - Cartera propia comprometida,0,0,0,0,0,0,0,0,0,0,0,0,0,Marzo de 2022
12,11.02.21 Renta variable,,,,,,,,0,,0,,,,Marzo de 2022
13,11.02.22 Renta fija e Intermediación Financiera,,,,,,,,0,,0,,,,Marzo de 2022
14,11.02.30 A valor razonable - Instrumentos financieros derivados,,,,,,,,0,,0,,,,Marzo de 2022
15,11.02.40 A costo amortizado - Cartera propia disponible,,,,,,,,0,,0,,,,Marzo de 2022
16,11.02.50 A costo amortizado - Cartera propia comprometida,,,,,,,,0,,0,,,,Marzo de 2022
17,11.02.60 A costo amortizado - Operaciones de financiamiento,0,0,0,0,0,0,0,0,0,0,0,0,0,Marzo de 2022
18,11.02.61 Operaciones de compra con retroventa sobre IRV,,,,,,,,0,,0,,,,Marzo de 2022
19,11.02.62 Operaciones de compra con retroventa sobre IRF e IIF,,,,,,,,0,,0,,,,Marzo de 2022
20,11.02.63 Otras,,,,,,,,0,,0,,,,Marzo de 2022
21,11.03.00 Productos,0,1237394,17319891,0,0,269505,0,0,532995,315381,0,0,0,Marzo de 2022
22,11.03.10 A valor razonable - Cartera propia disponible,0,1237394,17087622,0,0,269505,0,0,532995,0,0,0,0,Marzo de 2022
23,11.03.11 Productos agropecuarios,,,,,,,,,,0,,,,Marzo de 2022
24,11.03.12 Títulos representativos de productos agropecuarios (TRP),,0,,,,,,,,0,,,,Marzo de 2022
25,11.03.13 Facturas,,1237394,17087622,,,269505,,,532995,0,,,,Marzo de 2022
26,11.03.14 Títulos representativos de facturas (TRF),,,,,,,,,,0,,,,Marzo de 2022
27,11.03.15 Otros,,,,,,,,,,0,,,,Marzo de 2022
28,11.03.20 A valor razonable - Cartera propia comprometida,0,0,0,0,0,0,0,0,0,0,0,0,0,Marzo de 2022
29,11.03.21 Productos agropecuarios,,,,,,,,,,0,,,,Marzo de 2022
30,11.03.22 Títulos representativos de productos agropecuarios,,,,,,,,,,0,,,,Marzo de 2022
31,11.03.23 Otros,,,,,,,,,,0,,,,Marzo de 2022
32,11.03.30 A valor razonable - Instrumentos derivados,,,,,,,,,,0,,,,Marzo de 2022
33,11.03.40 A costo amortizado - Cartera propia disponible,0,0,0,0,0,0,0,0,0,315381,0,0,0,Marzo de 2022
34,11.03.41 Facturas,,,0,,,,,,,315381,,,,Marzo de 2022
35,11.03.42 Títulos representativos de facturas,,,,,,,,,,0,,,,Marzo de 2022
36,11.03.43 Otros,,,,,,,,,,0,,,,Marzo de 2022
37,11.03.50 A costo amortizado - Cartera propia comprometida,,,,,,,,,,0,,,,Marzo de 2022
38,11.03.60 A costo amortizado - Operaciones de financiamiento,0,0,232269,0,0,0,0,0,0,0,0,0,0,Marzo de 2022
39,11.03.61 Operaciones de compra con retroventa sobre productos agropecuarios,,,,,,,,,,0,,,,Marzo de 2022
40,11.03.62 Operaciones de compra con retroventa sobre TRP,,,232269,,,,,,,0,,,,Marzo de 2022
41,11.03.63 Otras,,,,,,,,0,,0,,,,Marzo de 2022
42,11.04.00 Deudores por intermediación,,,,0,,,,0,,0,,287738,,Marzo de 2022
43,11.05.00 Cuentas por cobrar por operaciones de cartera propia,,,,,,,,,,0,,,,Marzo de 2022
44,11.06.00 Cuentas por cobrar a partes relacionadas,7059,8313,,28284,72058,,,5832,0,0,,9559,555483,Marzo de 2022
45,11.07.00 Otras cuentas por cobrar,0,15358,663,830,,0,,537,12702,0,,,,Marzo de 2022
46,11.08.00 Impuestos por cobrar,14639,5912,51039,,4841,6777,26777,755,23392,11960,21291,60543,874,Marzo de 2022
47,11.09.00 Impuestos diferidos,31500,102508,269208,114280,42503,25450,,15760,373708,68187,39143,5637,65630,Marzo de 2022
48,11.10.00 Inversiones en sociedades,28321,167980,,191632,27741,168144,29804,,167980,0,,47994,154866,Marzo de 2022
49,11.11.00 Intangibles,0,3645,0,0,,0,2734,50731,0,33705,50652,40884,,Marzo de 2022
50,"11.12.00 Propiedades, planta y equipo",0,741,832,607,,0,12700,2894,0,33,33,0,0,Marzo de 2022
51,11.13.00 Otros activos,1578,782863,2168,,0,580,,6089,1689,5126,1112,3055,619,Marzo de 2022
52,10.00.00 Total Activos,435122,2915010,17658569,972650,317361,485453,275923,318197,1421363,1151566,256807,842231,778161,Marzo de 2022
53,Pasivos y Patrimonio,,,,,,,,,,,,,,Marzo de 2022
54,Pasivos,,,,,,,,,,,,,,Marzo de 2022
55,21.01.00 Pasivos financieros,0,0,0,0,0,0,0,0,0,0,0,0,0,Marzo de 2022
56,21.01.10 A valor razonable,,,,,,,,,,0,,,,Marzo de 2022
57,21.01.20 A valor razonable - Instrumentos financieros derivados,,,,,,,,,,0,,,,Marzo de 2022
58,21.01.30 Obligaciones por financiamiento,0,0,0,0,0,0,0,0,0,0,0,0,0,Marzo de 2022
59,21.01.31 Operaciones de venta con retrocompra sobre IRV,,,,,,,,,,0,,,,Marzo de 2022
60,21.01.32 Operaciones de venta con retrocompra sobre IRF e IIF,,,,,,,,,,0,,,,Marzo de 2022
61,21.01.33 Otras,,,,,,,,,,0,,,,Marzo de 2022
62,21.02.00 Pasivos del mercado de productos,0,0,0,0,0,0,0,0,0,0,0,0,0,Marzo de 2022
63,21.02.10 A valor razonable,,,,,,,,,,0,,,,Marzo de 2022
64,21.02.20 A valor razonable - Instrumentos derivados,,,,,,,,,,0,,,,Marzo de 2022
65,21.02.30 Obligaciones por financiamiento,0,0,0,0,0,0,0,0,0,0,0,0,0,Marzo de 2022
