Unnamed: 0,Cuentas,ADDWISE 09 / 2015,AVLA 09 / 2015,BAN TATTERSALL 09 / 2015,CONTEMPORA 09 / 2015,DANK 09 / 2015,ECR OSORNO 09 / 2015,ELOY 09 / 2015,FINANCIA CAPITAL 09 / 2015,LARRAIN VIAL 09 / 2015,LATAM TRADE CAPITAL 09 / 2015,TANNER 09 / 2015,Fecha
1,RUT,76.147.513-4,76.268.236-2,76.977.670-2,76.686.240-3,76.249.106-0,76.030.732-7,76.389.487-8,76.089.848-1,99.587.310-9,76.148.647-0,76.313.350-8,Septiembre de 2015
2,Razón social,ADDWISE,AVLA,BAN TATTERSALL,CONTEMPORA,DANK,ECR OSORNO,ELOY,FINANCIA CAPITAL,LARRAIN VIAL,LATAM TRADE CAPITAL,TANNER,Septiembre de 2015
3,,,,,,,,,,,,,Septiembre de 2015
4,Estado de situación financiera,,,,,,,,,,,,Septiembre de 2015
5,Activos,,,,,,,,,,,,Septiembre de 2015
6,11.01.00 Efectivo y efectivo equivalente,540858,217139,399093,446331,125207,2452,142562,30263,155884,154589,152071,Septiembre de 2015
7,11.02.00 Instrumentos financieros,,,942485,0,0,0,0,0,0,0,0,Septiembre de 2015
8,11.02.10 A valor razonable - Cartera propia disponible,,,0,0,0,0,0,0,0,0,0,Septiembre de 2015
9,11.02.11 Renta variable (IRV),,,,0,,,,,0,,0,Septiembre de 2015
10,11.02.12 Renta fija e Intermediación Financiera (IRF e IIF),,,,,,,,,,0,0,Septiembre de 2015
11,11.02.20 A valor razonable - Cartera propia comprometida,,,0,0,0,0,0,0,0,0,0,Septiembre de 2015
12,11.02.21 Renta variable,,,,,,,,,,0,0,Septiembre de 2015
13,11.02.22 Renta fija e Intermediación Financiera,,,,,,,,,,0,0,Septiembre de 2015
14,11.02.30 A valor razonable - Instrumentos financieros derivados,,,,,,,,,,0,0,Septiembre de 2015
15,11.02.40 A costo amortizado - Cartera propia disponible,,,942485,,,,,,,0,0,Septiembre de 2015
16,11.02.50 A costo amortizado - Cartera propia comprometida,,,,,,,,,,0,0,Septiembre de 2015
17,11.02.60 A costo amortizado - Operaciones de financiamiento,,,0,0,0,0,0,0,0,0,0,Septiembre de 2015
18,11.02.61 Operaciones de compra con retroventa sobre IRV,,,,,,,,,,0,,Septiembre de 2015
19,11.02.62 Operaciones de compra con retroventa sobre IRF e IIF,,,,,,,,,,0,,Septiembre de 2015
20,11.02.63 Otras,,,,,,,,0,,0,,Septiembre de 2015
21,11.03.00 Productos,,,0,0,0,215357,0,0,31347,390420,1858662,Septiembre de 2015
22,11.03.10 A valor razonable - Cartera propia disponible,,,0,0,0,215357,0,0,0,0,0,Septiembre de 2015
23,11.03.11 Productos agropecuarios,,,,,,,,,,0,0,Septiembre de 2015
24,11.03.12 Títulos representativos de productos agropecuarios (TRP),,,,,,,,,,0,0,Septiembre de 2015
25,11.03.13 Facturas,,,,,,215357,,,,0,0,Septiembre de 2015
