Unnamed: 0,Cuentas,ADDWISE 09 / 2017,AVLA 09 / 2017,BAN TATTERSALL 09 / 2017,BCI 09 / 2017,CONTEMPORA 09 / 2017,DANK 09 / 2017,ECR OSORNO 09 / 2017,ELOY 09 / 2017,FINANCIA CAPITAL 09 / 2017,FINMAS 09 / 2017,LARRAIN VIAL 09 / 2017,LATAM TRADE CAPITAL 09 / 2017,MOONK 09 / 2017,TANNER 09 / 2017,Fecha
1,RUT,76.147.513-4,76.268.236-2,76.977.670-2,76.466.468-K,76.686.240-3,76.249.106-0,76.030.732-7,76.389.487-8,76.089.848-1,76.609.787-1,99.587.310-9,76.148.647-0,76.727.442-4,76.313.350-8,Septiembre de 2017
2,Razón social,ADDWISE,AVLA,BAN TATTERSALL,BCI,CONTEMPORA,DANK,ECR OSORNO,ELOY,FINANCIA CAPITAL,FINMAS,LARRAIN VIAL,LATAM TRADE CAPITAL,MOONK,TANNER,Septiembre de 2017
3,,,,,,,,,,,,,,,,Septiembre de 2017
4,Estado de situación financiera,,,,,,,,,,,,,,,Septiembre de 2017
5,Activos,,,,,,,,,,,,,,,Septiembre de 2017
6,11.01.00 Efectivo y efectivo equivalente,272801,261350,628578,137,508791,28361,64247,50124,514524,224958,762449,101622,428705,351056,Septiembre de 2017
7,11.02.00 Instrumentos financieros,,0,2026822,434836,0,0,0,0,0,0,700000,0,0,562308,Septiembre de 2017
8,11.02.10 A valor razonable - Cartera propia disponible,,0,0,434836,0,0,0,0,0,0,700000,0,0,562308,Septiembre de 2017
9,11.02.11 Renta variable (IRV),,,,,0,,,,,,700000,,,562308,Septiembre de 2017
10,11.02.12 Renta fija e Intermediación Financiera (IRF e IIF),,,,434836,,,,,,,,0,,,Septiembre de 2017
11,11.02.20 A valor razonable - Cartera propia comprometida,,0,0,0,0,0,0,0,0,0,0,0,0,0,Septiembre de 2017
12,11.02.21 Renta variable,,,,,,,,,,,,0,,,Septiembre de 2017
13,11.02.22 Renta fija e Intermediación Financiera,,,,,,,,,,,,0,,,Septiembre de 2017
14,11.02.30 A valor razonable - Instrumentos financieros derivados,,,,,,,,,,,,0,,,Septiembre de 2017
15,11.02.40 A costo amortizado - Cartera propia disponible,,,2026822,,,,,,,,,0,,,Septiembre de 2017
16,11.02.50 A costo amortizado - Cartera propia comprometida,,,,,,,,,,,,0,,,Septiembre de 2017
17,11.02.60 A costo amortizado - Operaciones de financiamiento,,0,0,0,0,0,0,0,0,0,0,0,0,0,Septiembre de 2017
18,11.02.61 Operaciones de compra con retroventa sobre IRV,,,,,,,,,,,,0,,,Septiembre de 2017
19,11.02.62 Operaciones de compra con retroventa sobre IRF e IIF,,,,,,,,,,,,0,,,Septiembre de 2017
20,11.02.63 Otras,,,,,,,,,0,,,0,,,Septiembre de 2017
21,11.03.00 Productos,,0,0,7284561,0,0,185912,0,0,0,490364,429382,0,208501,Septiembre de 2017
22,11.03.10 A valor razonable - Cartera propia disponible,,0,0,7284561,0,0,185912,0,0,0,490364,0,0,0,Septiembre de 2017
23,11.03.11 Productos agropecuarios,,,,,,,,,,,,0,,,Septiembre de 2017
24,11.03.12 Títulos representativos de productos agropecuarios (TRP),,,,,,,,,,,,0,,,Septiembre de 2017
