Unnamed: 0,Cuentas,AVLA 09 / 2021,BAN TATTERSALL 09 / 2021,BCI 09 / 2021,CONTEMPORA 09 / 2021,DANK 09 / 2021,ECR OSORNO 09 / 2021,ELOY 09 / 2021,FINMAS 09 / 2021,LARRAIN VIAL 09 / 2021,LATAM TRADE CAPITAL 09 / 2021,MOONK 09 / 2021,NUEVO CAPITAL 09 / 2021,TANNER 09 / 2021,Fecha
1,RUT,76.268.236-2,76.977.670-2,76.466.468-K,76.686.240-3,76.249.106-0,76.030.732-7,76.389.487-8,76.609.787-1,99.587.310-9,76.148.647-0,76.727.442-4,76.899.853-1,76.313.350-8,Septiembre de 2021
2,Razón social,AVLA,BAN TATTERSALL,BCI,CONTEMPORA,DANK,ECR OSORNO,ELOY,FINMAS,LARRAIN VIAL,LATAM TRADE CAPITAL,MOONK,NUEVO CAPITAL,TANNER,Septiembre de 2021
3,,,,,,,,,,,,,,,Septiembre de 2021
4,Estado de situación financiera,,,,,,,,,,,,,,Septiembre de 2021
5,Activos,,,,,,,,,,,,,,Septiembre de 2021
6,11.01.00 Efectivo y efectivo equivalente,284413,418376,7159,542391,14023,17934,188142,199396,487673,5014,146273,734105,845,Septiembre de 2021
7,11.02.00 Instrumentos financieros,0,0,0,0,141648,0,0,0,0,0,0,0,0,Septiembre de 2021
8,11.02.10 A valor razonable - Cartera propia disponible,0,0,0,0,141648,0,0,0,0,0,0,0,0,Septiembre de 2021
9,11.02.11 Renta variable (IRV),,0,,0,141648,0,,,0,,,,,Septiembre de 2021
10,11.02.12 Renta fija e Intermediación Financiera (IRF e IIF),,0,,,,0,,,,0,,,,Septiembre de 2021
11,11.02.20 A valor razonable - Cartera propia comprometida,0,0,0,0,0,0,0,0,0,0,0,0,0,Septiembre de 2021
12,11.02.21 Renta variable,,0,,,,,,,,0,,,,Septiembre de 2021
13,11.02.22 Renta fija e Intermediación Financiera,,0,,,,,,,,0,,,,Septiembre de 2021
14,11.02.30 A valor razonable - Instrumentos financieros derivados,,0,,,,,,,,0,,,,Septiembre de 2021
15,11.02.40 A costo amortizado - Cartera propia disponible,,0,,,,,,,,0,,,,Septiembre de 2021
16,11.02.50 A costo amortizado - Cartera propia comprometida,,0,,,,,,,,0,,,,Septiembre de 2021
17,11.02.60 A costo amortizado - Operaciones de financiamiento,0,0,0,0,0,0,0,0,0,0,0,0,0,Septiembre de 2021
18,11.02.61 Operaciones de compra con retroventa sobre IRV,,0,,,,,,,,0,,,,Septiembre de 2021
19,11.02.62 Operaciones de compra con retroventa sobre IRF e IIF,,0,,,,,,,,0,,,,Septiembre de 2021
20,11.02.63 Otras,,0,,,,,,,,0,,,,Septiembre de 2021
21,11.03.00 Productos,0,986944,12724840,0,0,248025,0,0,0,672625,0,0,0,Septiembre de 2021
22,11.03.10 A valor razonable - Cartera propia disponible,0,986944,11855770,0,0,248025,0,0,0,0,0,0,0,Septiembre de 2021
23,11.03.11 Productos agropecuarios,,0,,,,,,,,0,,,,Septiembre de 2021
24,11.03.12 Títulos representativos de productos agropecuarios (TRP),,0,,,,,,,,0,,,,Septiembre de 2021
25,11.03.13 Facturas,,986944,11855770,,,248025,,,0,0,,0,,Septiembre de 2021
26,11.03.14 Títulos representativos de facturas (TRF),,0,,,,,,,,0,,,,Septiembre de 2021
